,index,name,gender,matrices,mat_rank
0,44,Nansi,female,1.0270592048080494,1.0
1,41,Giana,female,2.2519376645335836,2.0
2,34,Tina,female,4.289181119980122,3.0
3,35,Lori,female,4.464848401143097,4.0
4,32,Kellie,female,5.135422873849166,5.0
5,33,Shaniek,female,5.4014397818974125,6.0
6,30,Shadaisia,female,5.411403572748686,7.0
7,21,Bri,female,8.01139917614242,8.0
8,22,Khushi,female,8.033036348327647,9.0
9,19,Jewel,female,8.49230288186064,10.0
10,2,Colleen,female,13.145089368290037,11.0
11,3,Annes,female,13.233907535835224,12.0
