,index,name,gender,matrices,mat_rank
0,50,Damian,male,0.1728616911282302,1.0
1,49,Masuf,male,1.2185982688476087,2.0
2,44,Myles,male,3.1959186063218694,3.0
3,30,Matthew,male,5.012439707062466,4.0
4,32,Jamarii,male,5.0274734701692605,5.0
5,33,Brennan,male,5.366830500302222,6.0
6,29,Eli,male,6.115435596021629,7.0
7,27,Drew,male,6.490097387419168,8.0
8,26,Juan,male,7.417714781934691,9.0
9,22,Edosagbe,male,8.283428013254289,10.0
10,3,Quinterius,male,13.46838719442532,11.0
11,2,Corey,male,14.061557894365201,12.0
