,index,name,gender,realeffort,re_rank
0,21,Bri,female,0.0280428226394161,1.0
1,32,Kellie,female,0.029351571713339852,2.0
2,30,Shadaisia,female,0.40074446186058577,3.0
3,33,Shaniek,female,0.4451578917924939,4.0
4,22,Khushi,female,1.0275350901994806,5.0
5,35,Lori,female,1.1543329331700425,6.0
6,44,Nansi,female,4.444625393289707,7.0
7,3,Annes,female,5.4244102735004285,8.0
8,34,Tina,female,5.496586725108855,9.0
9,19,Jewel,female,6.230913157643559,10.0
10,2,Colleen,female,6.332633385117708,11.0
11,41,Giana,female,7.312435941475188,12.0
