,index,name,gender,realeffort,re_rank
0,29,Eli,male,2.0602512033493188,1.0
1,50,Damian,male,2.1256807918455056,2.0
2,49,Masuf,male,3.073146872276658,3.0
3,33,Brennan,male,4.16085845644664,4.0
4,2,Corey,male,4.325047043071273,5.0
5,22,Edosagbe,male,5.029038457771843,6.0
6,26,Juan,male,5.029449836749054,7.0
7,32,Jamarii,male,5.13654631304171,8.0
8,30,Matthew,male,7.0801577128437625,9.0
9,27,Drew,male,7.4928036288684545,10.0
10,3,Quinterius,male,8.452276954552703,11.0
11,44,Myles,male,13.358086608745566,12.0
